activity AD1-B AD1-C D07 D08 D09 D10 D11 D12 E01 I01 I02 I03 I04 I05 I06 I07 I08 I09 P01 T01 T02
Prepare_soup 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0
Clean 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
Choose_outfit 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
Fill_medication_dispenser 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0
Wash_DVD 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0
Water_plants 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Answering_phone 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
Prepare_birthday_card 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
Prepare_soup 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0
Clean 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
Choose_outfit 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
Fill_medication_dispenser 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0
Wash_DVD 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0
Water_plants 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
Answering_phone 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
Prepare_birthday_card 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0
Prepare_soup 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0
Clean 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
Choose_outfit 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
Fill_medication_dispenser 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1
Wash_DVD 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0
Water_plants 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Answering_phone 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
Prepare_birthday_card 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0
Prepare_soup 1 0 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1
Clean 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
Choose_outfit 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
Fill_medication_dispenser 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0
Wash_DVD 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0
Water_plants 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Answering_phone 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
Prepare_birthday_card 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
Prepare_soup 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0
Clean 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
Choose_outfit 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0
Fill_medication_dispenser 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0
Wash_DVD 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0
Water_plants 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
Answering_phone 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
Prepare_birthday_card 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0
Prepare_soup 1 0 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0
Clean 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0
Choose_outfit 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
