activity TV_shelf closet cupboard freezer fridge kitchen_closet medicine_container microwave phone phone_book pot table tap_hot
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 1
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 1 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 0
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 0 0 0 1 0 0 1 0 0
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 1 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 0
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 1 0 0 0 1 0 0 1 0 0
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 0
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 1
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 1 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 1
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 0
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 0 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 1
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 1
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 1 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 1
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 1
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 1 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 1
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 1
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 1 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 1
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 0
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 1 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 0
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 1
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
Fill_medication_dispenser 0 0 1 0 0 0 1 0 0 0 0 0 0
Watch_DVD 1 0 0 0 0 0 0 0 0 0 0 0 0
Water_plants 0 0 0 0 0 1 0 0 0 0 0 0 0
Prepare_birthday_card 0 0 0 0 0 0 0 0 0 1 0 1 0
Prepare_soup 0 0 1 0 1 0 0 1 0 0 1 0 0
Clean 0 0 0 0 0 1 0 0 0 0 0 0 0
Choose_outfit 0 1 0 0 0 0 0 0 0 0 0 0 0
